Date,Close
2020-01-02,102.2
2020-01-03,101.92
2020-01-06,101.83
2020-01-07,101.78
2020-01-08,101.55
2020-01-09,101.48
2020-01-10,100.9
2020-01-13,102.16
2020-01-14,102.92
2020-01-15,102.79
2020-01-16,103.37
2020-01-17,104.53
2020-01-21,104.58
2020-01-22,104.49
2020-01-23,103.02
2020-01-24,102.03
2020-01-27,100.24
2020-01-28,100.41
2020-01-29,99.84
2020-01-30,98.19
2020-01-31,96.3
2020-02-03,99.27
2020-02-04,101.38
2020-02-05,100.54
2020-02-06,100.27
2020-02-07,99.44
2020-02-10,100.02
2020-02-11,100.02
2020-02-12,103.0
2020-02-13,103.37
2020-02-14,103.54
2020-02-18,102.0
2020-02-19,102.46
2020-02-20,102.53
2020-02-21,100.25
2020-02-24,95.91
2020-02-25,92.9
2020-02-26,92.0
2020-02-27,88.55
2020-02-28,89.38
2020-03-02,92.68
2020-03-03,90.93
2020-03-04,93.79
2020-03-05,90.58
2020-03-06,88.36
2020-03-09,84.11
2020-03-10,88.3
2020-03-11,84.0
2020-03-12,74.2
2020-03-13,75.58
2020-03-16,66.79
2020-03-17,69.84
2020-03-18,68.04
2020-03-19,70.34
2020-03-20,67.45
2020-03-23,62.8
2020-03-24,72.33
2020-03-25,79.01
2020-03-26,84.3
2020-03-27,83.23
2020-03-30,85.38
2020-03-31,82.74
2020-04-01,79.23
2020-04-02,80.14
2020-04-03,78.86
2020-04-06,84.63
2020-04-07,84.16
2020-04-08,85.3
2020-04-09,86.79
2020-04-13,84.46
2020-04-14,87.47
2020-04-15,85.04
2020-04-16,86.3
2020-04-17,89.91
2020-04-20,87.9
2020-04-21,85.2
2020-04-22,88.77
2020-04-23,87.35
2020-04-24,88.37
2020-04-27,89.37
2020-04-28,88.8
2020-04-29,88.07
2020-04-30,87.18
2020-05-01,85.54
2020-05-04,85.75
2020-05-05,87.2
2020-05-06,88.44
2020-05-07,88.56
2020-05-08,90.46
2020-05-11,90.93
2020-05-12,88.26
2020-05-13,86.02
2020-05-14,86.55
2020-05-15,86.99
2020-05-18,91.04
2020-05-19,91.51
2020-05-20,92.95
2020-05-21,94.26
2020-05-22,93.75
2020-05-26,96.62
2020-05-27,99.87
2020-05-28,98.46
2020-05-29,98.58
2020-06-01,99.54
2020-06-02,100.74
2020-06-03,104.11
2020-06-04,101.28
2020-06-05,102.71
2020-06-08,104.29
2020-06-09,102.63
2020-06-10,102.12
2020-06-11,95.17
2020-06-12,96.43
2020-06-15,97.84
2020-06-16,99.04
2020-06-17,99.21
2020-06-18,98.45
2020-06-19,95.78
2020-06-22,99.51
2020-06-23,101.92
2020-06-24,100.08
2020-06-25,101.4
2020-06-26,93.67
2020-06-29,95.87
2020-06-30,98.05
2020-07-01,97.4
2020-07-02,98.43
2020-07-06,99.95
2020-07-07,97.07
2020-07-08,98.84
2020-07-09,96.99
2020-07-10,97.99
2020-07-13,96.46
2020-07-14,96.76
2020-07-15,98.54
2020-07-16,97.26
2020-07-17,96.28
2020-07-20,95.65
2020-07-21,98.36
2020-07-22,98.91
2020-07-23,98.3
2020-07-24,98.43
2020-07-27,97.21
2020-07-28,96.27
2020-07-29,96.97
2020-07-30,96.82
2020-07-31,97.61
2020-08-03,98.33
2020-08-04,97.33
2020-08-05,100.94
2020-08-06,100.45
2020-08-07,101.86
